Variable name,Definition,Category
wardpcode02_v2,Ward code new version 2002,IDENTIFIERS
wardpcode02_v2Str,Ward code new version 2002,IDENTIFIERS
Province,Province,IDENTIFIERS
ZIMWARDSID,ZIMWARDSID,IDENTIFIERS
PROVINCE,PROVINCE,IDENTIFIERS
LOCAL_AUTH,LOCAL_AUTH,IDENTIFIERS
WARDNUMBER,WARDNUMBER,IDENTIFIERS
District12,District name 2012 (census),IDENTIFIERS
DISTRICT,District name 2012 other source,IDENTIFIERS
district02,District name 2002 (census),IDENTIFIERS
districtpc02,District code 2002 (census),IDENTIFIERS
dist_hasc02,District hasc 2002,IDENTIFIERS
___GENERAL___,-----------------GENERAL------------------------,
areaKM2_12,Area in km2 of 2012 ward boundary,GENERAL
areaKM2_02,Area in km2 of 2002 ward boundary,GENERAL
pop,Total Population 2012,GENERAL
pop_m,Population male 2012,GENERAL
pop_f,Population female 2012,GENERAL
pop02,Total Population 2002,GENERAL
pop_m02,Population male 2002,GENERAL
pop_f02,Population female 2002,GENERAL
popdens12,Population density (pop/km2) in 2012,GENERAL
popdens02,Population density (pop/km2) in 2002,GENERAL
___CENSUS_2012___,-----------------CENSUS 2012------------------------,
pd_empl_srv_m,Paid workers in services male 2012,OCCUPATION & WORK STATUS 2012
pd_empl_srv_f,Paid workers in services female 2012,OCCUPATION & WORK STATUS 2012
actwrk_srv_m,Own account workers in services male 2012,OCCUPATION & WORK STATUS 2012
actwrk_srv_f,Own account workers in services female 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_srv_m,Unpaid family workers in services male 2012,OCCUPATION & WORK STATUS 2012
unpd_famwrk_srv_f,Unpaid family workers in services female 2012,OCCUPATION & WORK STATUS 2012
emp_srv_m,Employer services male 2012,OCCUPATION & WORK STATUS 2012
emp_srv_f,Employer services female 2012,OCCUPATION & WORK STATUS 2012
pd_empl_agr_m,Paid workers in agriculture male 2012,OCCUPATION & WORK STATUS 2012
pd_empl_agr_f,Paid workers in agriculture female 2012,OCCUPATION & WORK STATUS 2012
