,Show,NAME,LAT,LONG,COUNTRY,geometry
0,no,Gwanda,28.99184004,-20.94363999,Zimbabwe,POINT (28.99184004 -20.94363999)
1,no,Banket,30.40392996,-17.39223,Zimbabwe,POINT (30.40392996 -17.39223)
2,yes,Beitbridge,29.99144988,-22.21398,Zimbabwe,POINT (29.99144988 -22.21398)
3,no,Chakari,29.84645988,-18.06991002,Zimbabwe,POINT (29.84645988 -18.06991002)
4,no,Chimanimani,32.88225996,-19.80504999,Zimbabwe,POINT (32.88225996 -19.80504999)
5,yes,Chiredzi,31.73942988,-21.09915999,Zimbabwe,POINT (31.73942988 -21.09915999)
6,yes,Chivhu,30.89688012,-19.02461004,Zimbabwe,POINT (30.89688012 -19.02461004)
7,no,Eiffel Flats,29.97596016,-18.31586004,Zimbabwe,POINT (29.97596016 -18.31586004)
8,no,Golden Valley,29.78746992,-18.22422996,Zimbabwe,POINT (29.78746992 -18.22422996)
9,yes,Hwange,26.5527,-18.34855002,Zimbabwe,POINT (26.5527 -18.34855002)
10,no,Kamativi,27.05842008,-18.32585004,Zimbabwe,POINT (27.05842008 -18.32585004)
11,no,Kariba,28.80015012,-16.52973003,Zimbabwe,POINT (28.80015012 -16.52973003)
12,yes,Macheke,31.85130996,-18.14945004,Zimbabwe,POINT (31.85130996 -18.14945004)
13,no,Madziwa,31.60316988,-17.11636002,Zimbabwe,POINT (31.60316988 -17.11636002)
14,no,Mhangura,30.16722996,-16.88915997,Zimbabwe,POINT (30.16722996 -16.88915997)
15,no,Mutoko,32.22110988,-17.40560004,Zimbabwe,POINT (32.22110988 -17.40560004)
16,yes,Mvuma,30.53211012,-19.28781999,Zimbabwe,POINT (30.53211012 -19.28781999)
17,no,Mvurwi,30.86046,-17.02775997,Zimbabwe,POINT (30.86046 -17.02775997)
18,yes,Nyamapanda,32.85529992,-16.9641,Zimbabwe,POINT (32.85529992 -16.9641)
19,no,Nyanga,32.71699008,-18.29421999,Zimbabwe,POINT (32.71699008 -18.29421999)
20,no,Redcliff,29.77224984,-19.02335004,Zimbabwe,POINT (29.77224984 -19.02335004)
21,no,Rusape,32.12331984,-18.53358003,Zimbabwe,POINT (32.12331984 -18.53358003)
22,no,Shurugwi,30.00371004,-19.66489002,Zimbabwe,POINT (30.00371004 -19.66489002)
23,yes,Victoria Falls,25.83753012,-17.93508003,Zimbabwe,POINT (25.83753012 -17.93508003)
24,no,Nyanga,32.71699008,-18.29421999,Zimbabwe,POINT (32.71699008 -18.29421999)
25,no,Alaska,30.05120988,-17.38010997,Zimbabwe,POINT (30.05120988 -17.38010997)
26,no,Angus Ranch,31.95696996,-20.42332002,Zimbabwe,POINT (31.95696996 -20.42332002)
27,no,Antenior,29.06678016,-20.99583,Zimbabwe,POINT (29.06678016 -20.99583)
28,no,Arcturus,31.33441008,-17.79291,Zimbabwe,POINT (31.33441008 -17.79291)
29,no,Bannockburn,29.88021996,-20.28610998,Zimbabwe,POINT (29.88021996 -20.28610998)
30,no,Baruru,32.07679992,-19.70247996,Zimbabwe,POINT (32.07679992 -19.70247996)
31,no,Battlefields,29.82035016,-18.60766002,Zimbabwe,POINT (29.82035016 -18.60766002)
